candidate,case_id,case_index,collision_event_error,disagreement_mse,disagreement_pixel_frechet,disagreement_ssim_error,disagreement_temporal_gradient_mse,energy_drift,exact_miss_mse,exact_miss_pixel_frechet,exact_miss_ssim_error,exact_miss_temporal_gradient_mse,failed_collision_event_error,failed_energy_drift,failed_kinematic_residual,failed_momentum_drift,failed_position_rmse,failed_velocity_rmse,initial_condition_error,kinematic_residual,model_seed,momentum_drift,mse,partial_error,pixel_frechet,position_rmse,post_contact_position_rmse,psnr,ratio_to_random_mse,ratio_to_random_pixel_frechet,ratio_to_random_ssim_error,ratio_to_random_temporal_gradient_mse,ssim,ssim_error,state_failure,temporal_gradient_mse,velocity_rmse
analytic-oracle,test-0000,0,0.0,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0007464962975241056,,0.0,0.0,False,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0
persistence,test-0000,0,1.0,False,True,False,True,0.0,False,False,False,False,True,False,True,False,False,True,0.0,0.5811352540183394,,0.0,0.010400273837149143,True,0.003828377687593706,0.03010710609319395,0.02887204307170256,19.829552256630322,0.4400520234448332,0.052021390950928954,0.4398479428603252,0.014304010722124776,0.5760932404076744,0.4239067595923256,True,0.00034591153962537646,0.8707379792473493
linear-extrapolation,test-0000,0,1.0,False,True,False,True,0.0,False,False,False,False,True,False,False,False,True,True,0.0,3.3990168201047087e-14,,0.0,0.00941447727382183,True,0.0030064086346731737,0.06096187789843635,0.08130332151221845,20.262037885944242,0.3983414128215212,0.04085217596200234,0.43991359308753497,0.014595958437690465,0.5760299695079584,0.4239700304920416,True,0.00035297166323289275,0.8707379792473493
learned-seed-11,test-0000,0,1.0,False,True,False,True,43.23201223278141,False,False,False,False,True,True,True,True,False,True,0.0,1.6989356698144544,11,5.674258033634286,0.011463354341685772,True,0.002936329562335037,0.040827570265468925,0.05359066145620561,19.406882829857693,0.4850326397662137,0.03989991599261775,0.4850957541918016,0.022960210423412477,0.5324853222816096,0.4675146777183904,True,0.0005552429938688874,1.9114912663026777
learned-seed-29,test-0000,0,0.0,False,True,False,True,6.765355844763148,False,False,False,False,False,True,True,True,False,True,0.0,0.4753507766330653,29,1.278940331803811,0.010466061532497406,True,0.009609837612143141,0.03802269658540538,0.05051392026499335,19.802167162669512,0.4428356048109668,0.1305819749750079,0.4427722913808281,0.0399342001281516,0.5732748775498568,0.42672512245014316,True,0.0009657221962697804,0.7038384973640134
learned-seed-47,test-0000,0,1.0,False,True,False,True,37.856877898891724,False,False,False,False,True,True,True,True,False,True,0.0,1.932541662879485,47,6.009894510386603,0.014485323801636696,True,0.00430485257701952,0.046328173679649184,0.05938974729527951,18.390717922315496,0.6128969437703875,0.058495905359850955,0.6128010002411236,0.016464560293215906,0.40940843192793697,0.590591568072063,True,0.0003981597546953708,2.0234231199186827
analytic-oracle,test-0001,1,0.0,False,False,False,False,4.124077244363888e-16,False,False,False,False,False,False,False,False,False,False,0.0,0.01387992828841285,,0.0,0.0,False,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0
persistence,test-0001,1,1.0,False,True,False,True,0.0,False,False,False,False,True,False,True,False,False,True,0.0,0.5188498785016663,,0.0,0.0077703665010631084,True,0.0017971498305640562,0.029090786447165128,0.028261550253156104,21.09558496561309,0.5133099410153307,0.06345814783300657,0.5137279591328907,0.014926852432602795,0.518519904022476,0.48148009597752395,True,0.00023104102001525462,0.7611663797328481
linear-extrapolation,test-0001,1,1.0,False,True,False,True,0.0,False,False,False,False,True,False,False,False,True,True,0.0,2.94436182491435e-14,,0.0,0.005949290934950113,True,0.0007145104357018149,0.051656576810722256,0.07037309904640641,22.255347924880574,0.3930097992783831,0.025229676505470193,0.42876114160628004,0.015218603106475569,0.5981531626963236,0.40184683730367643,True,0.00023555679945275187,0.7611663797328481
learned-seed-11,test-0001,1,1.0,False,True,False,True,32.92033959175743,False,False,False,False,True,True,True,True,True,True,0.0,2.1752427753896293,11,5.617753174711048,0.007928295060992241,True,0.00097710457415098,0.052338351486329204,0.07071456958796993,21.00820195432945,0.523742692130837,0.034501990574329996,0.5382643036053024,0.020723238715767388,0.49552376125568065,0.5044762387443193,True,0.0003207587287761271,2.3610230129708705
learned-seed-29,test-0001,1,1.0,False,True,False,True,70.71373226885395,False,False,False,False,True,True,True,True,False,True,0.0,0.9959274153720242,29,5.155385405732982,0.00522076990455389,True,0.001584785486083401,0.022910536780739798,0.028447303704982465,22.82265447065978,0.34488374408009226,0.05595946979441294,0.3449831504703808,0.05183618296968051,0.6766722202944374,0.3233277797055626,True,0.00080233154585585,1.2826141895109033
learned-seed-47,test-0001,1,0.0,False,True,False,True,4.733326184310835,False,False,False,False,False,True,True,True,False,True,0.0,0.8336360449987796,47,2.4200654867954716,0.006571648642420769,True,0.0008518828352682677,0.029677758089195396,0.03995581284167794,21.823256644604996,0.4341227117862411,0.03008035611582119,0.43452984035816566,0.018098458531447738,0.5927465781814153,0.4072534218185847,True,0.0002801318187266588,0.9837220469763215
analytic-oracle,test-0002,2,0.0,False,False,False,False,4.0643147952726693e-16,False,False,False,False,False,False,False,False,False,False,0.0,0.01668639558204934,,0.0,0.0,False,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0
persistence,test-0002,2,1.0,False,True,False,True,0.0,False,False,False,False,True,False,True,False,False,True,0.0,0.4526286890955959,,0.0,0.011312264017760754,True,0.00434512517928073,0.03323417282565832,0.03435392479365904,19.464504673980805,0.5425534423885116,0.0779335929225649,0.5387123055086509,0.011124072606560034,0.4849965330335208,0.5150034669664791,True,0.00023564115690533072,0.6206694605841037
linear-extrapolation,test-0002,2,1.0,False,True,False,True,0.0,False,False,False,False,True,False,False,False,False,True,0.0,1.8414820401580774e-14,,0.0,0.006057094316929579,True,0.0013571904155253005,0.039299934716339455,0.057319634846089894,22.17735663747437,0.2905074852710652,0.024342388538381356,0.33540493962914947,0.008774017599025652,0.6793563002359879,0.3206436997640121,True,0.00018585995712783188,0.6206694605841037
learned-seed-11,test-0002,2,1.0,False,True,False,True,51.46970337992988,False,False,False,False,True,True,True,True,False,True,0.0,2.407737575230433,11,7.1125107505153204,0.010616022162139416,True,0.001922790352473768,0.04779001379971426,0.06695124106054448,19.740381835041326,0.5091606206766738,0.034486914512766954,0.5329490828986627,0.020056702902071157,0.49050611503989644,0.5094938849601036,True,0.0004248610057402402,2.5242313923451567
