case_id,candidate,family,severity,expected_violation,physics_failed,position_rmse,velocity_rmse,initial_condition_error,energy_drift,momentum_drift,collision_event_error,kinematic_residual,mse,psnr,ssim,ssim_error,pixel_frechet,temporal_gradient_mse,ratio_to_random_mse,low_sensitivity_mse,exact_miss_mse,ratio_to_random_ssim_error,low_sensitivity_ssim_error,exact_miss_ssim_error,ratio_to_random_pixel_frechet,low_sensitivity_pixel_frechet,exact_miss_pixel_frechet,ratio_to_random_temporal_gradient_mse,low_sensitivity_temporal_gradient_mse,exact_miss_temporal_gradient_mse
case-000,correct,correct,0.0,none,0.0,0.0,0.0,0.0,4.56618055123926e-16,3.980216224725351e-17,0.0,0.00329107322853201,0.0,120.0,1.0,0.0,8.868773770931426e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.049422110359564e-15,0.0,0.0,0.0,0.0,0.0
case-000,inelastic-0.95,inelastic,0.05,energy,1.0,0.0009807964278232733,0.01661412540388473,0.0,0.0962882334900815,3.980216224725351e-17,0.0,0.00329107322853201,4.494046515901573e-05,43.47362436702198,0.9976845378108009,0.002315462189199091,1.4783500026896608e-06,1.7310065231868066e-05,0.002441136212393027,1.0,0.0,0.0024418458088119755,1.0,0.0,3.4162143049502056e-05,1.0,0.0,0.0009258011371504126,1.0,0.0
case-000,inelastic-0.80,inelastic,0.2,energy,1.0,0.003923185711294736,0.06645650161553882,0.0,0.3555257851941474,0.0,0.0,0.00329107322853201,0.0005464146379381418,32.62477674826873,0.9718465057544542,0.028153494245545807,2.122994387241924e-05,9.736325591802597e-05,0.02968088013625796,1.0,0.0,0.029690181186105755,1.0,0.0,0.00049058773509857,1.0,0.0,0.0052073179296648715,1.0,0.0
case-000,inelastic-0.50,inelastic,0.5,energy,1.0,0.009807964278237678,0.166141254038847,0.0,0.7406787191544741,0.0,0.0,0.00329107322853201,0.0019693966023623943,27.056668156683653,0.8985308676217586,0.1014691323782414,0.00011264915805751655,0.00012003447045572102,0.10697631512223373,1.0,0.0,0.107007567118727,1.0,0.0,0.002603129600544737,1.0,0.0,0.006419851557841959,1.0,0.0
case-000,momentum-kick-0.025,momentum-kick,0.025,momentum,1.0,0.0007076540641821073,0.011987251412587097,0.0,0.006708172172920339,0.035850600613054145,0.0,0.00329107322853201,2.4383787604165263e-05,46.12898833261291,0.9987434679861381,0.0012565320138618885,1.7033940972748136e-06,4.510732196649769e-06,0.001324511143914731,1.0,0.0,0.00132511662077627,1.0,0.0,3.9362527625330776e-05,1.0,0.0,0.00024124929288834722,1.0,0.0
case-000,momentum-kick-0.075,momentum-kick,0.075,momentum,1.0,0.002122962192546863,0.03596175423776129,0.0,0.01241292313286131,0.1075518018391625,0.0,0.00329107322853201,0.000189590486115776,37.2218345988344,0.9902377258213663,0.009762274178633734,1.6560041786012683e-05,2.533643964852672e-05,0.010298429256235022,1.0,0.0,0.010295123107069872,1.0,0.0,0.0003826742756250095,1.0,0.0,0.0013550789279964755,1.0,0.0
case-000,momentum-kick-0.150,momentum-kick,0.15,momentum,1.0,0.004245924385092624,0.07192350847552259,0.0,0.0016910661080220214,0.21510360367832507,0.0,0.00329107322853201,0.0006198871997185051,32.07687331464228,0.968079079454928,0.03192092054507201,5.973377466838214e-05,6.177476461743936e-05,0.03367186088255643,1.0,0.0,0.033663242876518465,1.0,0.0,0.0013803454874659802,1.0,0.0,0.0033039244256997226,1.0,0.0
case-000,collision-dropout,collision-dropout,1.0,collision,1.0,0.039260651476426295,0.6645650161553879,0.0,0.0,0.0,1.0,2.339842565501268e-14,0.0054289307445287704,22.652856984918316,0.6810398953691202,0.31896010463087976,0.0013480751520753313,0.00019022569176740944,0.29489591147198707,0.0,0.0,0.33636973141010107,0.0,0.0,0.031151713804504457,1.0,0.0,0.010173916700745212,1.0,0.0
case-000,time-reverse,time-reverse,1.0,initial-condition,1.0,0.011467151945330446,0.9398368589256446,0.6930765954764798,4.566180551239258e-16,3.9802162247253496e-17,1.0,0.9840047881892425,0.0035391615238040686,24.51099616142927,0.8177155969384934,0.18228440306150662,9.194034422677078e-17,0.0004393009003251791,0.1922449028219053,1.0,0.0,0.1922339339868446,1.0,0.0,2.1245842904461004e-15,1.0,1.0,0.023495305628513805,1.0,0.0
case-000,random,random,1.0,state,1.0,0.26917703722895925,0.7661011022117019,0.4924952229885144,0.9266775047996906,2.0967744999034914,0.0,377.52256675568213,0.018409650772809982,17.34954449892514,0.05175741201872749,0.9482425879812725,0.04327451004895927,0.01869739033281803,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
